  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 285    4    0   25.00  16.67     1      4    6      1      4     3    75.00
 286    9    0   20.00  16.67     2     10   12      1      9     8    88.89
 287    5    0   40.00  33.33     2      5    6      1      5     4    80.00
 288    5    0   50.00  33.33     3      6    9      3      5     4    80.00
 289    4    0   33.33  40.00     2      6    5      0      4     3    75.00
 290    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 291    7    0   37.50  50.00     3      8    6      0      7     6    85.71
 292    1    0   50.00  50.00     1      2    2      0      1     1   100.00
 293    6    0   42.86  37.50     3      7    8      0      6     6   100.00
 294    4    0   50.00  60.00     3      6    5      0      4     4   100.00
 295    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 296    9    0   28.57  22.22     2      7    9      0      9     9   100.00
 297    5    0   16.67  11.11     1      6    9      1      5     4    80.00
 298    8    0   18.18  25.00     2     11    8      1      8     8   100.00
 299    7    0   33.33  25.00     2      6    8      2      7     6    85.71
 300    3    0   25.00  20.00     1      4    5      0      3     2    66.67
 301    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 302    9    0   20.00  22.22     2     10    9      0      9     9   100.00
 303    1    0   50.00  50.00     1      2    2      0      1     1   100.00
 304    9    0   50.00  50.00     5     10   10      0      9     9   100.00
 305    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 306    2    0   50.00  50.00     1      2    2      0      2     2   100.00
 307    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 308    8    0   57.14  36.36     4      7   11      0      8     7    87.50
 309    7    0   33.33  33.33     3      9    9      1      7     7   100.00
 310    5    0   40.00  25.00     2      5    8      2      5     5   100.00
 311    7    0   60.00  42.86     3      5    7      1      7     6    85.71
 312    4    0   40.00  40.00     2      5    5      0      4     3    75.00
 313    5    0   66.67  66.67     4      6    6      0      5     4    80.00
 314    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 315    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 316    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 317    7    0   11.11  10.00     1      9   10      3      7     6    85.71
 318    5    0   20.00  20.00     1      5    5      1      5     5   100.00
 319    1    0   50.00  50.00     1      2    2      0      1     1   100.00
 320    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 321    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 322    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 323    7    0   37.50  30.00     3      8   10      0      7     7   100.00
 324    1    0   50.00  50.00     1      2    2      0      1     1   100.00
 325    5    0   33.33  40.00     2      6    5      1      5     4    80.00
 326    6    0   37.50  42.86     3      8    7      1      6     5    83.33
 327    6    0   37.50  50.00     3      8    6      0      6     5    83.33
 328    5    0   25.00  40.00     2      8    5      1      5     4    80.00
 329    4    0   33.33  40.00     2      6    5      0      4     3    75.00
 330    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 331    3    0  100.00  50.00     2      2    4      0      3     3   100.00
 332    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 333    2    0   66.67 100.00     2      3    2      0      2     1    50.00
 334    4    0   40.00  40.00     2      5    5      1      4     3    75.00
 335    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 336    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 337    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 338    4    0   60.00  60.00     3      5    5      0      4     3    75.00
 339    8    0   33.33  40.00     4     12   10      1      8     8   100.00
 340    5    0   33.33  60.00     3      9    5      0      5     4    80.00
 341    7    0   30.00  30.00     3     10   10      4      7     6    85.71
 342    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 343    2    0   50.00  50.00     1      2    2      0      2     2   100.00
 344    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 345    8    0   12.50  11.11     1      8    9      2      8     7    87.50
 346    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 347    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 348    3    0  100.00  50.00     2      2    4      0      3     2    66.67
 349    3    0   50.00  25.00     1      2    4      0      3     2    66.67
 350    1    0   33.33  50.00     1      3    2      0      1     1   100.00
 351    5    0   16.67  12.50     1      6    8      3      5     4    80.00
 352    7    0   50.00  80.00     4      8    5      0      7     7   100.00
 353    4    0   25.00  20.00     1      4    5      1      4     3    75.00
 354    8    0   15.38  20.00     2     13   10      5      8     7    87.50
